"","species","min_freq","max_freq","dom_freq","wav","temp"
"1","gr2",2524,2735,2626,"OAC-MP3-939-Gr2.dosel.WAV",NA
"2","gr2",2530,2723,2626,"OAC-MP3-939-Gr2.dosel.WAV",NA
"3","gr2",2519,2667,2585,"OAC-MP3-939-Gr2.dosel.WAV",NA
"4","gr2",2519,2671,2597,"OAC-MP3-939-Gr2.dosel.WAV",NA
"5","gr2",2519,2671,2589,"OAC-MP3-939-Gr2.dosel.WAV",NA
"6","gr4",3349,3666,3512,"OAC-MP3-935 - Yataros-Gr4 - se escapo.wav",NA
"7","gr4",3280,3666,3555,"OAC-MP3-935 - Yataros-Gr4 - se escapo.wav",NA
"8","gr4",3357,3666,3563,"OAC-MP3-935 - Yataros-Gr4 - se escapo.wav",NA
"9","gr4",3263,3589,3512,"OAC-MP3-935 - Yataros-Gr4 - se escapo.wav",NA
"10","gr4",3280,3623,3520,"OAC-MP3-935 - Yataros-Gr4 - se escapo.wav",NA
"11","gr8",6176,7973,6738,"20210124_030000gr8.WAV",12.1
"12","gr8",6183,7815,6748,"20210124_030000gr8.WAV",12.1
"13","gr8",6183,8788,6780,"20210124_030000gr8.WAV",12.1
"14","gr8",6183,8788,6748,"20210124_030000gr8.WAV",12.1
"15","gr8",6121,8820,6748,"20210124_030000gr8.WAV",12.1
"16","gr12",13142,13531,13469,"OAC-MP3-936.Gr12.WAV",NA
"17","gr12",12830,13633,13586,"OAC-MP3-936.Gr12.WAV",NA
"18","gr12",12745,13641,13477,"OAC-MP3-936.Gr12.WAV",NA
"19","gr12",12854,13617,13461,"OAC-MP3-936.Gr12.WAV",NA
"20","gr12",12869,13672,13531,"OAC-MP3-936.Gr12.WAV",NA
"21","gr13",13257,22424,16245,"20210125_194800gr13.WAV",15
"22","gr13",13246,22447,16264,"20210125_194800gr13.WAV",15
"23","gr13",13307,22416,16695,"20210125_194800gr13.WAV",15
"24","gr13",13233,22195,16351,"20210125_194800gr13.WAV",15
"25","gr13",13260,21536,16309,"20210125_194800gr13.WAV",15
"26","gr22",16592,23030,20410,"20210123_233000gr22.WAV",14.2
"27","gr22",16343,23105,20460,"20210123_233000gr22.WAV",14.2
"28","gr22",16340,23130,20011,"20210123_233000gr22.WAV",14.2
"29","gr22",16543,23130,20410,"20210123_233000gr22.WAV",14.2
"30","gr22",16568,22880,20410,"20210123_233000gr22.WAV",14.2
"31","gr20",18476,22717,20426,"20200316_050000gr20.WAV",NA
"32","gr20",18427,24179,20133,"20200316_050000gr20.WAV",NA
"33","gr20",19451,24325,21888,"20200316_050000gr20.WAV",NA
"34","gr20",18329,24277,19989,"20200316_050000gr20.WAV",NA
"35","gr20",19166,24932,21415,"20200316_050000gr20.WAV",NA
